"TradeNumber","common.Side","Quantity","Price","PnlForTrade","CumulativePnl"
"139","Sell","4.4232","4.5244","0.0124","1000.1669"
"140","Sell","4.4271","4.516","-0.0071","1000.1598"
"141","Sell","4.4314","4.5152","0.0089","1000.1687"
"142","Sell","4.4323","4.5113","-0.0044","1000.1643"
"143","Sell","4.4361","4.5145","0.0266","1000.1909"
"144","Sell","4.4092","4.545","0.0397","1000.2306"
"145","Sell","4.3643","4.5844","0.0079","1000.2385"
"146","Sell","4.3625","4.5823","-0.0096","1000.2289"
"147","Sell","4.3736","4.5643","-0.0376","1000.1913"
"148","Sell","4.3779","4.5684","0.0","1000.1913"
"149","Sell","4.3779","4.5669","-0.0066","1000.1847"
"150","Sell","4.3797","4.5516","-0.0652","1000.1195"
"151","Sell","4.3935","4.5567","0.0198","1000.1393"
"152","Sell","4.3926","4.562","0.0391","1000.1784"
"153","Sell","4.3693","4.5773","-4.0E-4","1000.178"
"154","Sell","4.3804","4.5745","0.0381","1000.2161"
"155","Sell","4.3533","4.5974","0.0139","1000.23"
"156","Sell","4.3561","4.5916","0.0013","1000.2313"
"157","Sell","4.357","4.6073","0.074","1000.3053"
"158","Sell","4.3281","4.6236","0.0113","1000.3166"
"159","Sell","4.3181","4.6375","0.025","1000.3416"
"160","Sell","4.3227","4.6454","0.0807","1000.4223"
"161","Sell","4.3301","4.6299","0.0481","1000.4704"
"162","Sell","4.324","4.6222","-0.0134","1000.457"
"163","Sell","4.3302","4.6261","0.032","1000.489"
"164","Sell","4.3341","4.6122","-0.0104","1000.4786"
"165","Sell","4.3412","4.5997","-0.0317","1000.4469"
"166","Sell","4.3478","4.6023","0.01","1000.4569"
"167","Sell","4.3479","4.6051","0.0226","1000.4795"
"168","Sell","4.3432","4.6084","0.0152","1000.4947"
"169","Sell","4.3302","4.6275","0.0381","1000.5328"
"170","Sell","4.2965","4.639","-0.0686","1000.4642"
"171","Sell","4.3039","4.65","0.0129","1000.4771"
"172","Sell","4.3058","4.652","0.0306","1000.5077"
"173","Sell","4.3119","4.633","-0.0229","1000.4848"
"174","Sell","4.3213","4.6311","0.0125","1000.4973"
"175","Sell","4.3116","4.6537","0.065","1000.5623"
"176","Sell","4.301","4.6391","-0.0473","1000.515"
"177","Sell","4.3214","4.6325","0.019","1000.534"
